symbol,date,score,n_headlines
AAPL,2023-09-28,-0.109328456,22
AAPL,2023-09-29,0.08868734,24
AAPL,2023-10-02,-0.016600886,37
AAPL,2023-10-03,-0.14448221,21
AAPL,2023-10-04,-0.15243743,24
AAPL,2023-10-05,0.14383283,19
AAPL,2023-10-06,-0.099625625,13
AAPL,2023-10-09,-0.08519243,37
AAPL,2023-10-10,0.06885586,20
AAPL,2023-10-11,-0.0111961635,22
AAPL,2023-10-12,-0.058035955,13
AAPL,2023-10-13,-0.038761947,20
AAPL,2023-10-16,0.062049035,39
AAPL,2023-10-17,-0.069663,17
AAPL,2023-10-18,0.11975322,17
AAPL,2023-10-19,0.05152501,27
AAPL,2023-10-20,0.18190274,16
AAPL,2023-10-23,0.05606578,35
AAPL,2023-10-24,0.1372127,22
AAPL,2023-10-25,-0.05628135,31
AAPL,2023-10-26,0.041928858,24
AAPL,2023-10-27,0.15137106,22
AAPL,2023-10-30,0.067900345,55
AAPL,2023-10-31,0.10276985,20
AAPL,2023-11-01,-0.042834587,30
AAPL,2023-11-02,0.2926105,41
AAPL,2023-11-03,-0.3229393,33
AAPL,2023-11-06,0.027502984,33
AAPL,2023-11-07,0.15617082,23
AAPL,2023-11-08,-0.062945016,24
AAPL,2023-11-09,0.08251947,23
AAPL,2023-11-10,0.036445573,16
AAPL,2023-11-13,0.00950119,27
AAPL,2023-11-14,0.041642744,26
AAPL,2023-11-15,0.07013035,18
AAPL,2023-11-16,-0.029283138,14
AAPL,2023-11-17,0.07630527,15
AAPL,2023-11-20,0.14006,23
AAPL,2023-11-21,0.21799521,12
AAPL,2023-11-22,0.073687874,13
AAPL,2023-11-24,0.25575912,29
AAPL,2023-11-27,0.12963153,21
AAPL,2023-11-28,0.015605163,12
AAPL,2023-11-29,0.097067,19
AAPL,2023-11-30,0.0075666234,12
AAPL,2023-12-01,0.18782762,20
AAPL,2023-12-04,-0.09349253,41
AAPL,2023-12-05,-0.009707495,22
AAPL,2023-12-06,0.110713854,20
AAPL,2023-12-07,0.088722326,19
AAPL,2023-12-08,0.03856927,12
AAPL,2023-12-11,0.039475035,48
AAPL,2023-12-12,0.16551794,37
AAPL,2023-12-13,0.16968971,22
AAPL,2023-12-14,0.052707158,10
AAPL,2023-12-15,0.15374349,5
AAPL,2023-12-18,0.10652983,40
JNJ,2015-02-02,0.23127739,49
JNJ,2015-02-03,0.45198876,2
JNJ,2015-02-06,0.016657371,1
JNJ,2015-02-10,0.40552354,1
JNJ,2015-02-12,-0.69437915,4
JNJ,2015-02-13,-0.014692996,4
JNJ,2015-02-17,0.2131691,4
JNJ,2015-02-18,0.25663507,8
JNJ,2015-02-20,0.14245906,3
JNJ,2015-02-23,0.45256692,5
JNJ,2015-02-24,-0.94966453,1
JNJ,2015-02-25,0.04109837,4
JNJ,2015-02-26,0.83983034,1
JNJ,2015-02-27,0.08372671,1
JNJ,2015-03-02,0.15370274,4
JNJ,2015-03-04,0.020374494,6
JNJ,2015-03-05,-0.90792376,2
JNJ,2015-03-10,0.012096673,3
JNJ,2015-03-16,-0.16330512,3
JNJ,2015-03-18,0.039918378,1
JNJ,2015-03-19,-0.00283263,3
JNJ,2015-03-24,-0.8214168,1
JNJ,2015-03-27,0.10316244,2
JNJ,2015-03-30,0.9182663,1
JNJ,2015-04-01,0.06507952,1
JNJ,2015-04-02,0.15044631,2
JNJ,2015-04-06,-0.50694793,1
JNJ,2015-04-07,-0.021134842,1
JNJ,2015-04-13,0.5017134,4
JNJ,2015-04-14,-0.3406015,10
JNJ,2015-04-15,0.1828604,4
JNJ,2015-04-23,0.24268053,3
JNJ,2015-04-29,-0.03633614,1
JNJ,2015-05-05,0.099150605,1
JNJ,2015-05-07,0.16776884,2
JNJ,2015-05-11,0.030960217,3
JNJ,2015-05-12,0.5653131,3
JNJ,2015-05-14,-0.024182888,1
JNJ,2015-05-15,0.27626792,4
JNJ,2015-05-18,0.9070203,1
