Date,AAPL,MSFT,JPM,XOM,JNJ,NVDA,ORCL,GOOGL,VZ,DIS,AMZN,HD,MCD,NKE,PG,KO,WMT,UNH,PFE,MRK,BAC,GS,CAT,HON,UPS,CVX,SHW,NEE,AMT,EWJ
2024-03-19,174.3313751220703,414.1427001953125,184.7069396972656,105.05042266845705,146.4097137451172,89.14381408691406,125.64997863769533,145.6440887451172,33.94449234008789,111.3865203857422,175.89999389648438,355.7678527832031,266.1997375488281,93.88142395019533,151.435546875,56.13385772705078,59.403377532958984,466.68310546875,23.437135696411133,113.03733825683594,34.03662109375,369.110595703125,342.62774658203125,187.0235137939453,132.0171661376953,141.12416076660156,329.2270202636719,57.01968002319336,180.2031707763672,65.9218978881836
2024-03-20,176.8956298828125,417.8968505859375,187.12789916992188,104.9575424194336,145.98793029785156,90.11505889892578,125.6986312866211,147.33798217773438,34.07188415527344,113.28334045410156,178.14999389648438,360.456298828125,267.6866149902344,94.17256927490234,151.5852813720703,56.61848449707031,59.77421951293945,467.5439453125,23.49651527404785,114.56362915039062,34.716796875,376.5277404785156,345.0965576171875,189.03436279296875,133.3614501953125,139.25897216796875,333.5993957519531,57.88516616821289,178.3702392578125,66.43314361572266
2024-03-21,169.66812133789062,421.9654235839844,189.72991943359375,105.42198944091795,145.9785614013672,91.1750259399414,125.47491455078124,146.20872497558594,34.428565979003906,113.51678466796876,178.14999389648438,370.5738830566406,266.8207702636719,94.68913269042967,151.46365356445312,56.3575325012207,59.96940612792969,465.1410827636719,23.46258544921875,114.35086822509766,35.43473815917969,392.9005737304687,352.9482421875,189.22227478027344,133.84400939941406,139.53831481933594,339.6443786621094,57.10343933105469,177.73789978027344,66.76777648925781
2024-03-22,170.569091796875,421.3462829589844,187.404296875,105.42198944091795,145.49118041992188,94.02091979980467,124.28836822509766,149.34884643554688,34.28419494628906,112.7094268798828,178.8699951171875,365.9604187011719,265.9738464355469,88.1523666381836,151.2764892578125,56.37617874145508,59.403377532958984,463.6085815429687,23.208106994628903,114.56362915039062,35.00019836425781,386.3572082519531,346.70361328125,188.6115264892578,134.66270446777344,139.35809326171875,335.3796081542969,57.49430084228515,176.6839599609375,66.75847625732422
2024-03-25,169.15330505371094,415.5676879882813,185.68869018554688,106.49951934814452,145.48182678222656,94.7318878173828,122.6252212524414,148.65545654296875,34.70881271362305,116.10423278808594,179.7100067138672,359.6123352050781,262.2001953125,88.04905700683594,149.90090942382812,56.292293548583984,59.11061096191406,459.644775390625,23.267488479614254,115.91415405273438,34.82071304321289,384.5717468261719,344.6124267578125,186.4972991943359,134.92120361328125,140.989013671875,334.5286560058594,58.266727447509766,179.2225341796875,65.98697662353516
2024-03-26,168.02462768554688,414.3785095214844,186.5559844970703,105.7006607055664,145.99732971191406,92.29782104492188,123.00453186035156,149.2498016357422,34.691829681396484,116.65869140625,178.3000030517578,356.25537109375,262.2001953125,86.95020294189453,150.23780822753906,56.42277145385742,59.05205535888672,465.7275695800781,23.403207778930664,116.10840606689452,35.03798294067383,385.7493591308594,345.0384216308594,188.86521911621097,123.90826416015624,139.90773010253906,334.5286560058594,57.16858673095703,177.88450622558594,66.2751235961914
2024-03-27,171.5888671875,414.1623229980469,190.16839599609375,106.79678344726562,148.0499267578125,89.99339294433594,121.83740997314452,149.44790649414062,35.27781677246094,117.68004608154295,179.8300018310547,361.843994140625,265.3997802734375,88.40595245361328,152.1654510498047,56.87944412231445,59.25699234008789,466.4749755859375,23.564376831054688,121.87126922607422,35.71814727783203,394.3631286621094,353.0352783203125,192.7458648681641,126.95880126953124,140.880859375,339.3117980957031,59.3648681640625,180.89048767089844,66.56327056884766
2024-03-28,169.77703857421875,413.464599609375,190.9118194580078,107.97648620605467,148.2655029296875,90.09909057617188,122.16809844970705,149.50733947753906,35.634498596191406,119.02239990234376,180.3800048828125,359.69671630859375,265.3339538574219,88.26506805419922,151.82861328125,57.01924514770508,58.72024154663086,467.9885559082031,23.538923263549805,122.0562744140625,35.82206344604492,396.6803894042969,354.7585754394531,192.8586273193359,128.0790557861328,142.13336181640625,339.7421569824219,59.47654724121094,181.08294677734375,66.32160186767578
2024-04-01,168.34146118164062,417.2481994628906,189.61557006835935,108.67317199707033,147.8812255859375,90.10607147216795,122.04165649414062,154.0243682861328,35.90626525878906,118.2150421142578,180.97000122070312,345.0969543457031,263.7059020996094,86.9314193725586,150.265869140625,56.553245544433594,58.55434036254883,463.258544921875,23.51347923278809,121.16825103759766,35.44419479370117,392.710693359375,352.1543273925781,189.8142242431641,127.20868682861328,143.34078979492188,330.77252197265625,58.98331069946289,176.88558959960938,65.3270034790039
2024-04-02,167.1632537841797,414.1721801757813,189.539306640625,110.80037689208984,147.83433532714844,89.19766998291016,120.93289184570312,153.10311889648438,36.12706756591797,119.4698486328125,180.69000244140625,340.38031005859375,261.3720397949219,85.4193344116211,150.25648498535156,56.059295654296875,57.734580993652344,433.4026184082031,23.36927604675293,120.57625579833984,35.23637008666992,389.5195617675781,353.2096252441406,188.14166259765625,128.5271453857422,143.9715118408203,326.6642761230469,58.51799392700195,176.12490844726562,64.99238586425781
